model,MAE,RMSE,R2,MAPE,SMAPE,fold,hyperparameters
Prophet,121232755.75133123,296883614.96141016,-387.4500196518239,8.710940927107826e+16,158.14869449967597,1,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10, 'seasonality_mode': 'multiplicative'}"
Prophet,227226458.61950916,727789283.6251405,-884.4702817291453,6.478151124433085e+17,181.77005983395952,2,"{'changepoint_prior_scale': 0.1, 'seasonality_prior_scale': 20, 'seasonality_mode': 'additive'}"
Prophet,11002819.080761002,21329637.236278847,-0.4699876889899637,215605988056800.66,164.86389741236016,3,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10, 'seasonality_mode': 'multiplicative'}"
Prophet,5729076.154836296,11561482.032655682,-0.212231007807834,6982010362969093.0,139.69148732198306,4,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10, 'seasonality_mode': 'multiplicative'}"
Prophet,1356042688493.2708,6770491486216.121,-2301727358.732437,7.044750865592243e+21,176.22152657916664,5,"{'changepoint_prior_scale': 0.05, 'seasonality_prior_scale': 10, 'seasonality_mode': 'multiplicative'}"
RandomForest,3146116.1332278936,6347619.804021044,0.8224239048981286,267282236406695.5,108.12266382521922,1,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': 40}"
RandomForest,2938569.5489015835,7645165.9202088285,0.9022905638129913,208875181955.00986,78.81913146037103,2,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': 40}"
RandomForest,1599549.5793373652,3581453.4710277673,0.9585556449364905,8913816728915.326,77.56441841052374,3,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': 40}"
RandomForest,1150782.5753456147,2176771.9258225937,0.9570281326158738,1606621164126.491,81.81071876655798,4,"{'n_estimators': 300, 'min_samples_leaf': 1, 'max_features': 0.9, 'max_depth': 40}"
RandomForest,38265646.272687726,126571439.83424258,0.19557616826711988,72924033259.40086,86.88553050609791,5,"{'n_estimators': 100, 'min_samples_leaf': 10, 'max_features': 0.9, 'max_depth': 20}"
XGBoost,3983590.0021076994,7227073.62436777,0.7698093671961428,325625701008444.3,115.8702539924471,1,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'objective': 'reg:squarederror'}"
XGBoost,4139983.4809288266,10368498.752306318,0.8202808166787937,7048675473686.284,82.70397991988835,2,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'objective': 'reg:squarederror'}"
XGBoost,2992839.6861913516,6098957.939607648,0.8798128503081056,5483669482288.801,83.33622624654653,3,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'objective': 'reg:squarederror'}"
XGBoost,1169563.324643045,2298770.0376505014,0.9520764008145782,8511236029666.365,75.17669032154417,4,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'objective': 'reg:squarederror'}"
XGBoost,39296406.42011869,125957966.67248552,0.20335511886540458,154698229460.71634,93.21359762199293,5,"{'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.9, 'objective': 'reg:squarederror'}"
LSTM,9104976.0,21151813.006858774,0.907887876033783,41909524889600.0,87.99382448196411,1,"{'units': 50, 'dropout': 0.3, 'epochs': 30, 'batch_size': 32, 'learning_rate': 0.005, 'lstm_activation': 'tanh'}"
LSTM,7303932.0,18522042.253738653,0.9293683171272278,46264555929600.0,76.80541276931763,2,"{'units': 50, 'dropout': 0.3, 'epochs': 30, 'batch_size': 32, 'learning_rate': 0.005, 'lstm_activation': 'tanh'}"
LSTM,10345676.0,39395954.0212269,0.6804602146148682,42675535872000.0,79.30024266242981,3,"{'units': 50, 'dropout': 0.3, 'epochs': 30, 'batch_size': 32, 'learning_rate': 0.005, 'lstm_activation': 'tanh'}"
LSTM,7524096.5,19783655.407024052,0.9194185733795166,29705138995200.0,78.26346755027771,4,"{'units': 50, 'dropout': 0.3, 'epochs': 30, 'batch_size': 32, 'learning_rate': 0.005, 'lstm_activation': 'tanh'}"
LSTM,8561366.0,20158250.002318356,0.9163381457328796,30597372313600.0,82.80690908432007,5,"{'units': 50, 'dropout': 0.3, 'epochs': 30, 'batch_size': 32, 'learning_rate': 0.005, 'lstm_activation': 'tanh'}"
