economy,Country,Year,AG.LND.FRST.K2,AG.SRF.TOTL.K2,ER.PTD.TOTL.ZS,GB.XPD.RSDV.GD.ZS,GE.EST,IP.JRN.ARTC.SC,IT.NET.USER.ZS,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.SEC.ENRR,SE.TER.ENRR,SE.XPD.TOTL.GB.ZS,SE.XPD.TOTL.GD.ZS,SP.POP.SCIE.RD.P6,SP.POP.TECH.RD.P6,Country code,Coverage subscore,Openness subscore,Overall score
AGO,Angola,2000,777086.1,1246700.0,,,-1.07503414154053,6.08,0.105,563.733795571487,,12.8563404083252,,5.2550802230835,2.60753011703491,,,,,,
AGO,Angola,2001,771535.49,1246700.0,,,,9.58,0.136,533.586202412447,,14.4628095626831,,,,,,,,,
AGO,Angola,2002,765984.88,1246700.0,,,-1.13215708732605,16.13,0.27,882.147847234303,,15.6130504608154,0.754029989242554,,,,,,,,
AGO,Angola,2003,760434.27,1246700.0,,,-1.12422430515289,5.89,0.371,992.698979254665,,,2.77182006835938,,,,,,,,
AGO,Angola,2004,754883.66,1246700.0,,,-1.32887244224548,9.73,0.465,1266.21086410236,,,2.07171010971069,,,,,,,,
AGO,Angola,2005,749333.05,1246700.0,,,-1.1102192401886,10.04,1.14,1916.46842218625,,,2.55246996879578,7.99235010147095,2.12011003494263,,,,,,
AGO,Angola,2006,743782.44,1246700.0,,,-1.38104915618896,12.57,1.5,2617.05196022633,,,2.48175001144409,7.45479011535645,2.28146004676819,,,,,,
AGO,Angola,2007,738231.83,1246700.0,,,-1.20500719547272,10.16,1.7,3141.0459797605,104.233329772949,,,,,,,,,,
AGO,Angola,2008,732681.22,1246700.0,,,-1.06138837337494,11.85,1.9,4103.0669003635,111.10994720459,22.3172206878662,,,,,,,,,
AGO,Angola,2009,727130.61,1246700.0,,,-0.945070207118988,13.78,2.3,3136.64546955947,110.201789855957,23.8500499725342,,11.460000038147,2.92000007629395,,,,,,
AGO,Angola,2010,721580.0,1246700.0,,,-1.13826775550842,14.68,2.8,3597.34293216332,111.87287902832,27.6820907592773,,8.68476963043213,3.42131996154785,,,,,,
AGO,Angola,2011,716029.38,1246700.0,,,-1.19323122501373,17.78,4.7,4615.91059831778,126.245147705078,27.9312000274658,6.3326301574707,8.96000003814697,3.24000000953674,48.4267692565918,35.4243,,,,
AGO,Angola,2012,710478.76,1246700.0,,,-0.988945424556732,21.3,7.7,5086.02740086376,,,,8.37043285369873,3.08191084861755,,,,,,
AGO,Angola,2013,704928.14,1246700.0,8.9,,-1.24288654327393,23.85,13.0,5057.74787833163,,,9.11637020111084,8.82697105407715,3.86999988555908,,,,,,
AGO,Angola,2014,699377.52,1246700.0,5.0,,-1.05657386779785,34.57,21.4,5005.9997412707,,,,7.13000011444092,2.9300000667572,,,,,,
AGO,Angola,2015,693826.9,1246700.0,5.0,,-0.929087340831757,32.12,22.0,3213.90261080059,119.14225769043,,8.68379020690918,8.918776512146,3.09999990463257,,,AGO,23.9,9.0,15.9
AGO,Angola,2016,688276.2,1246700.0,5.0,0.0322900004684925,-0.971493542194366,37.81,23.2,1807.95294072643,107.026964874435,53.5814514160156,9.66034030914307,6.55097389221191,2.75493669509888,18.9357891082764,5.20066,AGO,23.8,23.0,23.3
AGO,Angola,2017,682725.7,1246700.0,5.0,,-0.951988995075226,55.13,26.0,2437.25971190821,122.235166180926,,9.65568923950195,6.7637767791748,2.46687889099121,,,AGO,18.4,23.2,20.9
AGO,Angola,2018,677175.1,1246700.0,5.0,,-1.00525164604187,29.7,29.0,2538.59139143371,88.5748689656161,,9.35254287719727,5.77752447128296,2.18351292610168,,,AGO,16.3,21.9,19.3
AGO,Angola,2019,671624.4,1246700.0,5.0,,-1.1284898519516,36.39,32.1,2189.85571407618,,,11.0613594055176,6.04535579681396,2.07306432723999,,,,,,
AGO,Angola,2020,666073.8,1246700.0,5.0,,-1.25748455524445,48.51,36.6,1449.92286669308,,,,5.2947359085083,2.6674473285675,,,AGO,45.2,38.1,41.4
AGO,Angola,2021,660523.133,1246700.0,5.0,,-1.1263599395752,42.35,39.4,1925.87466082167,88.8339920043945,52.5437698364258,,6.91961002349854,2.2971088886261,,,,,,
