country,year,area_selvatica_km2,superficie_total_km2,areas_protegidas,gasto_RD_pib,efectividad_gobierno,art_cientificos,uso_internet,pib_per_capita,inscripcion_primaria,inscripcion_secundaria,inscripcion_terciaria,gasto_educacion_gobierno,gasto_educacion_pib,investigadores_RD,tecnicos_RD,countryCode,region,incomeLevel,occurrenceCount,occurrenceCount_publisher,gbif_member,ogp_membership
Angola,2000,777086.1,1246700.0,,,-1.07503414154053,6.08,0.105046,563.733795571487,,13.3690700531006,,5.2550802230835,2.60753011703491,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2001,771535.49,1246700.0,,,,9.58,0.136014,533.586202412447,,15.0013399124146,,,,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2002,765984.88,1246700.0,,,-1.13215708732605,16.13,0.270377,882.147847234303,,16.1495990753174,0.783640027046204,,,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2003,760434.27,1246700.0,,,-1.12422430515289,5.89,0.370682,992.698979254665,,,2.87620997428894,,,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2004,754883.66,1246700.0,,,-1.32887244224548,9.73,0.464815,1266.21086410236,,,2.14597010612488,,,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2005,749333.05,1246700.0,,,-1.1102192401886,10.04,1.14337,1916.46842218625,,,2.6385600566864,7.99235010147095,2.12011003494263,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2006,743782.44,1246700.0,,,-1.38104915618896,12.57,1.5,2617.05196022633,,,2.55977010726929,7.45479011535645,2.28146004676819,,,AO,Sub-Saharan Africa ,Lower middle income,,,No,No
Angola,2007,738231.83,1246700.0,,,-1.20500719547272,10.16,1.7,3141.0459797605,106.341453552246,,,,,,,AO,Sub-Saharan Africa ,Lower middle income,27099.0,,No,No
Angola,2008,732681.22,1246700.0,,,-1.06138837337494,11.85,1.9,4103.0669003635,113.292236328125,22.7990207672119,,,,,,AO,Sub-Saharan Africa ,Lower middle income,27839.0,,No,No
Angola,2009,727130.61,1246700.0,,,-0.945070207118988,13.78,2.3,3136.64546955947,112.278953552246,24.3320198059082,,,,,,AO,Sub-Saharan Africa ,Lower middle income,44983.0,,No,No
